id,title,description,image,price,quantity,weight,color
1,Beach Bum,This soft and sweet tonal is somewhere right in between peach blush and ballerina pink.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/9EAA0063-7ABE-4D1C-BF1A-E33EA546699F.jpg?v=1623290230,25,10,Sock,Pink
2,Bikini Bottom,This variegated skein has all the nostalgic 'pineapple under the sea vibes'!,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/52D0EB05-B952-426C-A8E1-3A4ACAB10024.jpg?v=1623290363,25,10,Sock,Pink
3,Blackberry Smash,This bold semi-solid colorway combines the deep rich colors of muddled blackberries and an oaky bourbon to make a yarn so delightful you might want to drink it!,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/E9C43068-D403-42A2-A00E-D77F4EB8C551.jpg?v=1612050008,25,8,Sock,Purple
4,Blood Orange Martini,This variegated colorway is totally 'one more row' vibes. There are so many great colors and rich moments in this skein!,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20211010_141105-01.jpg?v=1633911711,25,10,Sock,Purple
5,Blood Orange Tea,Blood Orange Tea starts with a soft orange base and is layered with flecks of color. Very reminiscent of a cup of tea!,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20211010_141013-01.jpg?v=1633911677,25,10,Sock,Orange
6,Blue Velvet,This blue tonal colorway is somewhere between your favorite pair of Levis and a fancy velvet armchair.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/2021-04-26_1.jpg?v=1619575521,25,8,Sock,Blue
7,Body Electric,One of our most fun colorways in the collection - layers of pinks speckled with bright green and sprinkled with bits of deep blue.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20210426_143148-01.jpg?v=1619580232,25,13,Sock,Green
8,Born to Die,Born to Die is a slightly variegated skein with layers of blue shades and pops of grey and black.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20210426_143629-01.jpg?v=1619580401,25,12,Sock,Blue
9,Cab With A Twist,This colorway is dark and moody with a pop of fun!,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20211010_140957-01.jpg?v=1633911778,25,10,Sock,Purple
10,Candy Hearts,Are you ready for a surprise- Candy Hearts edition? While most people tend to either strongly love or hate candy hearts- we're confident you'll be in full lust with this variegated colorway inspired by the classic holiday treat.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/609D4FF3-AE09-4B7C-A680-F0DEF072B3B4.png?v=1643155347,25,7,Sock,Multi
11,Cashmere,This soft tonal rounds out the collection with classic sweater vibes.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/20211010_141028-01.jpg?v=1633911637,25,10,Sock,Cream
12,Conch Shell,This fun tonal is the offspring of a bright conch shell and a ripe juicy peach covered in speckles.,https://cdn.shopify.com/s/files/1/0535/5497/0813/products/95A6D977-CCDB-4889-AA9B-433F8587DB6E.jpg?v=1623290697,25,10,Sock,Orange
